term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
rel::103:treated,0.800000000003202,,,,,,unemp_rate
rel::104:treated,0.800000000003328,,,,,,unemp_rate
rel::105:treated,0.800000000003262,,,,,,unemp_rate
rel::106:treated,1.00000000000342,,,,,,unemp_rate
rel::107:treated,0.900000000003308,,,,,,unemp_rate
rel::108:treated,0.400000000003146,,,,,,unemp_rate
rel::109:treated,0.500000000003459,,,,,,unemp_rate
rel::110:treated,0.500000000003315,,,,,,unemp_rate
rel::111:treated,0.200000000003467,,,,,,unemp_rate
rel::112:treated,0.200000000003271,,,,,,unemp_rate
rel::113:treated,3.22764037719026e-12,,,,,,unemp_rate
rel::114:treated,-0.0999999999966636,,,,,,unemp_rate
rel::115:treated,-0.499999999996684,,,,,,unemp_rate
rel::116:treated,-0.299999999996762,,,,,,unemp_rate
rel::117:treated,-0.299999999996639,,,,,,unemp_rate
rel::118:treated,-0.199999999996833,,,,,,unemp_rate
rel::119:treated,-0.699999999996764,,,,,,unemp_rate
rel::120:treated,-0.399999999996661,,,,,,unemp_rate
rel::121:treated,-0.199999999996655,,,,,,unemp_rate
rel::122:treated,-0.699999999996798,,,,,,unemp_rate
rel::123:treated,-0.799999999996747,,,,,,unemp_rate
rel::124:treated,-0.699999999996669,,,,,,unemp_rate
rel::125:treated,-0.299999999996763,,,,,,unemp_rate
rel::126:treated,-0.699999999996835,,,,,,unemp_rate
rel::127:treated,-0.699999999996791,,,,,,unemp_rate
rel::128:treated,-0.49999999999683,,,,,,unemp_rate
rel::129:treated,-0.799999999996798,,,,,,unemp_rate
rel::130:treated,-0.899999999996688,,,,,,unemp_rate
rel::131:treated,-0.499999999996705,,,,,,unemp_rate
rel::132:treated,-0.399999999996694,,,,,,unemp_rate
rel::133:treated,-0.0999999999966783,,,,,,unemp_rate
rel::134:treated,-0.0999999999967596,,,,,,unemp_rate
rel::135:treated,3.34354766096112e-12,,,,,,unemp_rate
rel::136:treated,-0.19999999999684,,,,,,unemp_rate
rel::137:treated,-0.19999999999682,,,,,,unemp_rate
rel::138:treated,-0.299999999996834,,,,,,unemp_rate
rel::139:treated,0.100000000003181,,,,,,unemp_rate
rel::140:treated,-0.0999999999968297,,,,,,unemp_rate
rel::141:treated,-0.499999999996816,,,,,,unemp_rate
rel::142:treated,-0.299999999996818,,,,,,unemp_rate
rel::143:treated,-0.399999999996797,,,,,,unemp_rate
rel::144:treated,-0.499999999996807,,,,,,unemp_rate
rel::145:treated,-0.399999999996818,,,,,,unemp_rate
rel::146:treated,-0.499999999996807,,,,,,unemp_rate
rel::147:treated,-0.59999999999681,,,,,,unemp_rate
rel::148:treated,-0.499999999996823,,,,,,unemp_rate
rel::149:treated,-0.0999999999968249,,,,,,unemp_rate
rel::150:treated,-0.0999999999968089,,,,,,unemp_rate
rel::151:treated,-0.399999999996807,,,,,,unemp_rate
rel::152:treated,-0.199999999996817,,,,,,unemp_rate
rel::153:treated,-0.199999999996834,,,,,,unemp_rate
rel::154:treated,3.2120972548455e-12,,,,,,unemp_rate
rel::155:treated,3.2041036490682e-12,,,,,,unemp_rate
rel::156:treated,-0.199999999996817,,,,,,unemp_rate
rel::157:treated,-0.399999999996799,,,,,,unemp_rate
rel::158:treated,-0.199999999996782,,,,,,unemp_rate
rel::159:treated,-0.499999999996804,,,,,,unemp_rate
rel::160:treated,-0.499999999996782,,,,,,unemp_rate
rel::161:treated,-0.499999999996733,,,,,,unemp_rate
rel::162:treated,-0.499999999996782,,,,,,unemp_rate
rel::163:treated,-0.699999999996781,,,,,,unemp_rate
rel::164:treated,-0.599999999996737,,,,,,unemp_rate
rel::165:treated,-0.299999999996732,,,,,,unemp_rate
rel::166:treated,-1.09999999999675,,,,,,unemp_rate
rel::167:treated,-0.49999999999674,,,,,,unemp_rate
rel::168:treated,-0.699999999996742,,,,,,unemp_rate
rel::169:treated,-0.799999999996716,,,,,,unemp_rate
rel::170:treated,-0.899999999996697,,,,,,unemp_rate
rel::171:treated,-1.09999999999673,,,,,,unemp_rate
rel::172:treated,-0.799999999996737,,,,,,unemp_rate
rel::173:treated,-1.19999999999676,,,,,,unemp_rate
rel::174:treated,-1.19999999999675,,,,,,unemp_rate
rel::175:treated,-0.999999999996787,,,,,,unemp_rate
rel::176:treated,-1.29999999999682,,,,,,unemp_rate
rel::177:treated,-1.49999999999677,,,,,,unemp_rate
rel::178:treated,-1.19999999999676,,,,,,unemp_rate
rel::179:treated,-1.49999999999684,,,,,,unemp_rate
rel::-60:treated,-0.0154610042564323,,,,,,ln_imp
rel::-59:treated,-0.0200069121658296,,,,,,ln_imp
rel::-58:treated,-0.023322066114922,,,,,,ln_imp
rel::-57:treated,-0.0231537502767959,,,,,,ln_imp
rel::-56:treated,-0.0300702484035259,,,,,,ln_imp
rel::-55:treated,-0.0225102762352932,,,,,,ln_imp
